name,artist_names,popularity,release_date
Mercedes,{'Eno'},58,2018-07-20
Somebody,"{'The Chainsmokers', 'Drew Love'}",9,2018-04-20
Saint-Tropez,{'Post Malone'},21,2019-09-06
Never Enough (Reprise),{'Loren Allred'},66,2017-12-08
Ocho Cinco,{'M Huncho'},0,2019-04-12
You're Gonna Live Forever in Me,{'John Mayer'},65,2017-04-14
満月の夜なら,{'Aimyon'},57,2019-02-13
Bruder,"{'Veysel', 'Soolking'}",47,2018-11-30
Rendez-vous là-haut,{'Bigflo & Oli'},0,2018-11-23
Sanctify,{'Years & Years'},1,2018-07-06
泣きたいくらい,{'Sakurako Ohara'},43,2018-06-27
Booska Rocket,{'Zola'},51,2019-01-30
Joy To The World,{'Nat King Cole'},47,1962
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,"{'Diego & Victor Hugo', 'Zé Neto & Cristiano'}",73,2019-03-22
春の歌,{'SPITZ'},54,2006-03-25
WAKA,"{'6ix9ine', 'A Boogie Wit da Hoodie'}",5,2018-11-27
Eu Vou pra Igreja - Ao Vivo,{'Gusttavo Lima'},63,2019-10-04
Santa Baby (with Henri René & His Orchestra),"{'Eartha Kitt', 'Henri Rene & His Orchestra'}",40,2002
多分、風。,{'Sakanaction'},52,2019-06-19
Canter,{'Gerry Cinnamon'},67,2019-06-22
Deixa Eu Te Chamar de Meu Amor,{'Breno & Caio Cesar'},55,2018-11-09
Put a Date On It (feat. Lil Baby),"{'Yo Gotti', 'Lil Baby'}",65,2019-01-25
はじまりの歌,{'HIRAIDAI'},41,2018-05-26
Netflix & Chill,"{'Kay One', 'Mike Singer'}",47,2018-09-07
Chasing Fire,{'Lauv'},45,2018-03-29
N. J Respect R,{'Damso'},1,2017-04-28
God Bless (feat. Damso),"{'Hamza', 'Damso'}",69,2019-12-20
Lo Que Tú y Yo Vivimos (feat. Gente de Zona) - Ao Vivo,"{'Gusttavo Lima', 'Gente De Zona'}",62,2019-10-04
Ruhe nach dem Sturm,"{'Bonez MC', 'RAF Camora'}",58,2016-09-09
Fountain (feat. Haile WSTRN),"{'MIST', 'Haile'}",47,2018-02-09
Qui je suis,{'RK'},49,2018-09-21
Patty Cake,{'Kodak Black'},67,2017-03-31
Lovin' (feat. A Boogie wit da Hoodie),"{'PnB Rock', 'A Boogie Wit da Hoodie'}",60,2017-11-17
La 8 - Chivas,{'Timal'},46,2018-02-23
Play (with Years & Years),"{'Jax Jones', 'Years & Years'}",2,2018-10-12
Rolling Stone,"{'Kurdo', 'Majoe'}",29,2017-08-18
Geschlossene Gesellschaft,{'Bushido'},0,2017-06-09
Out My Way,{'Juice WRLD'},66,2019-03-08
VALENTINO,{'24kGoldn'},79,2019-01-25
from 四階の角部屋,{'Aimyon'},47,2019-02-13
Sick Boy,{'The Chainsmokers'},7,2018-04-20
Don't Judge Me (feat. Future & Swae Lee),"{'Ty Dolla $ign', 'Future', 'Swae Lee'}",49,2017-10-27
Então Vem Cá - Ao Vivo,"{'Mano Walter', 'Claudia Leitte'}",0,2018-12-07
a lot,{'21 Savage'},81,2018-12-21
Straight Lifestyle,{'Giggs'},0,2017-10-06
Cantona,{'Niro'},3,2019-09-27
Remember I Told You,"{'Nick Jonas', 'Anne-Marie', 'Mike Posner'}",1,2017-05-26
Nombreux,{'Angèle'},57,2018-10-05
Goodbyes (Feat. Young Thug),"{'Post Malone', 'Young Thug'}",27,2019-07-05
Drei Haselnüsse für Aschenbrödel: Einleitung,"{'Karel Svoboda', 'František Pavlíček', 'Václav Vorlíček', 'Film Symphony Orchestra', 'Stepan Konicek'}",3,2003-05-05
Fais moi la passe,{'Jul'},36,2018-06-15
Black Folk,{'ScHoolboy Q'},52,2019-04-26
楓,{'SPITZ'},59,1998
Attitude,{'Fekky'},26,2019-10-02
Wer,"{'Ufo361', 'Capital Bra', 'XATAR'}",40,2017-04-28
Havana - Remix,"{'Camila Cabello', 'Daddy Yankee'}",68,2017-11-12
444+222,{'Lil Uzi Vert'},64,2017-08-25
Submission (feat. Danny Brown & Kelela),"{'Gorillaz', 'Danny Brown', 'Kelela'}",56,2017-04-28
Tuesday,"{'Burak Yeter', 'Danelle Sandoval'}",3,2016-06-17
Run Up the Racks,"{'21 Savage', 'Metro Boomin'}",57,2017-10-30
Dark Vader,{'J Hus'},57,2018-05-30
Lass Sie Gehn,{'Seeed'},58,2019-10-04
Ponto Fraco - Ao Vivo,{'Thiaguinho'},66,2017-08-04
Bugatti Veyron,{'Kurdo'},47,2018-05-18
FAKE LOVE (Rocking Vibe Mix),{'BTS'},60,2018-08-24
Habibi,"{'Moe Phoenix', 'PA Sports'}",0,2018-02-02
Arrêt du cœur,"{'Kalash Criminel', 'Kaaris'}",0,2016-10-28
J'veux plus,{'Djadja & Dinaz'},0,2018-07-20
Vovo,{'Naps'},56,2019-06-28
Ausländer 2,{'Mert'},41,2017-09-22
Mortel,{'Koba LaD'},61,2019-09-27
Little Things,{'Jessica Mauboy'},63,2019-10-18
Ma belle,{'Moha La Squale'},71,2019-08-05
Aladdin,"{'Ardian Bujupi', 'Eno'}",40,2017-12-01
The Louvre,{'Lorde'},4,2017-06-16
Fanboy,"{'Fler', 'Bass Sultan Hengzt'}",43,2019-10-03
Love Lies (with Normani),"{'Khalid', 'Normani'}",78,2018-02-14
F&N,{'Future'},58,2019-01-18
WanteD! WanteD!,{'Mrs. GREEN APPLE'},62,2018-04-17
Sweater Weather,{'The Neighbourhood'},82,2013-04-19
Wild,{'MoStack'},49,2019-06-07
Game Changer,{'MIST'},44,2018-01-25
Colonel Carrillo,{'Lacrim'},0,2017-03-31
Sin Pijama,"{'Becky G', 'Natti Natasha'}",77,2018-04-20
Some Things Never Change,"{'Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff', 'Cast of Frozen 2'}",78,2019-11-15
Intro,{'Aitch'},52,2019-09-06
Évidemment,{'Lomepal'},60,2018-12-07
Tell Me,{'Marwa Loud'},53,2019-06-14
alone feat.SALU,{'Shota Shimizu'},43,2018-06-27
Tell Em I'm Doing Eetswa,{'Hooligan Hefs'},66,2019-12-12
De Copo Em Copo - Ao Vivo,{'George Henrique & Rodrigo'},1,2017-06-30
Bienvenue chez moi,{'Bigflo & Oli'},0,2018-11-23
I Thought About Killing You,{'Kanye West'},3,2018-06-01
Comfort Zone,"{'Manuellsen', 'Nura'}",40,2019-09-26
Bist Du alleine.,{'Yung Hurn'},55,2018-05-04
No Money,{'Galantis'},73,2016-04-01
Wieder vereint,"{'LX', 'Maxwell'}",43,2016-12-16
Don’t Matter To Me,"{'Drake', 'Michael Jackson'}",13,2018-06-29
Hope,{'XXXTENTACION'},84,2018-03-16
Trouble,{'OFFAIAH'},3,2016-07-29
Rotterdam,{'Miami Yacine'},50,2017-10-13
Drapeau noir,{'Booba'},0,2017-12-01
Cigarette,"{'Kaaris', 'SCH'}",45,2019-01-25
Pocahontas,{'Jul'},45,2019-03-02
Love$ick (feat. A$AP Rocky),"{'Mura Masa', 'A$AP Rocky'}",75,2017-07-14
Não Passa Vontade - Ao Vivo,{'Henrique & Juliano'},59,2017-07-07
Super Far,{'LANY'},8,2017-06-30
Je ne vous oublie pas,{'Jul'},37,2017-12-01
Irmã Gostosa,"{'Mc Livinho', 'Mc Davi'}",52,2018-02-07
I'm Fine,{'BTS'},71,2018-08-24
Lie To Me (feat. Julia Michaels),"{'5 Seconds of Summer', 'Julia Michaels'}",77,2018-12-21
Even Though I'm Leaving,{'Luke Combs'},24,2019-06-07
Stolpersteine,"{'Trettmann', 'KitschKrieg'}",56,2019-09-13
Ay-Oh - Live Aid,{'Queen'},66,2018-10-19
Von Party zu Party,{'SXTN'},0,2017-05-19
Bra macht die AK,"{'Capital Bra', 'AK Ausserkontrolle'}",43,2017-09-29
Con Calma - Remix,"{'Daddy Yankee', 'Katy Perry', 'Snow'}",73,2019-04-19
Scared of the Dark (feat. XXXTENTACION),"{'Lil Wayne', 'Ty Dolla $ign', 'XXXTENTACION'}",73,2018-12-14
Desire,{'Juice WRLD'},67,2019-03-08
Booty (feat. Dopebwoy),"{'Majoe', 'Dopebwoy'}",39,2018-08-31
